speed_mps,g_load,fuel_flow_kg_s
0.0,1.0,2.0
0.0,3.0,2.625
0.0,5.0,4.5
0.0,7.0,7.625
0.0,9.0,12.0
600.0,1.0,2.6
600.0,3.0,3.225
600.0,5.0,5.1
600.0,7.0,8.225
600.0,9.0,12.6
1200.0,1.0,4.4
1200.0,3.0,5.025
1200.0,5.0,6.9
1200.0,7.0,10.025
1200.0,9.0,14.4
1800.0,1.0,7.3999999999999995
1800.0,3.0,8.024999999999999
1800.0,5.0,9.899999999999999
1800.0,7.0,13.024999999999999
1800.0,9.0,17.4
2400.0,1.0,11.600000000000001
2400.0,3.0,12.225000000000001
2400.0,5.0,14.100000000000001
2400.0,7.0,17.225
2400.0,9.0,21.6
3000.0,1.0,17.0
3000.0,3.0,17.625
3000.0,5.0,19.5
3000.0,7.0,22.625
3000.0,9.0,27.0
